symbol,event_date,event_type,baseline_state,baseline_label,nh_state,nh_label,baseline_ll,nh_ll,A_event_norm,days_to_event_signed
DRREDDY.NS,2019-04-30,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2020-08-05,Board Meeting,1,Sideways,2,Bull,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2020-11-20,Results,1,Sideways,0,Bear,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2021-08-06,Results,1,Sideways,2,Bull,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2021-11-18,AGM,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2022-11-04,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2023-02-01,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2023-05-04,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2023-07-27,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2023-11-07,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
DRREDDY.NS,2024-02-22,Results,0,Bear,1,Sideways,9154.595652369915,9637.44723319311,0.05955139641397751,0
ONGC.NS,2019-05-15,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2019-10-31,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2020-02-20,Results,2,Bull,1,Sideways,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2020-08-18,Board Meeting,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2020-11-02,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2021-02-05,AGM,2,Bull,1,Sideways,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2021-11-24,Results,2,Bull,1,Sideways,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2022-05-04,Board Meeting,2,Bull,1,Sideways,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2022-11-01,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2023-02-08,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2023-05-04,Board Meeting,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2023-08-21,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2023-11-24,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2024-02-14,Results,2,Bull,1,Sideways,8469.685367546039,8647.16566087448,0.2822142663022489,0
ONGC.NS,2024-05-08,Results,1,Sideways,0,Bear,8469.685367546039,8647.16566087448,0.2822142663022489,0
RELIANCE.NS,2020-08-21,Results,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2021-05-21,Board Meeting,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2021-08-03,Results,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2021-11-04,Board Meeting,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2022-08-12,Results,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2022-10-27,Results,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2023-02-01,Board Meeting,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2023-05-08,AGM,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2023-08-24,Results,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
RELIANCE.NS,2024-04-29,Results,0,Bear,1,Sideways,9028.935507311611,9242.77638732357,0.05461054537978912,0
