symbol,event_date,event_type,baseline_state,baseline_label,nh_state,nh_label,baseline_ll,nh_ll,A_event_norm,days_to_event_signed
ASIANPAINT.NS,2019-01-22,Results,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2019-05-09,Results,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2019-05-28,AGM,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2019-07-08,Board Meeting,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2019-07-24,Results,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2019-12-31,Board Meeting,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2020-01-22,Results,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2020-02-19,Board Meeting,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2020-06-05,Board Meeting,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2020-06-23,Results,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2020-07-08,AGM,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2021-01-04,Board Meeting,1,Sideways,0,Bear,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2021-01-21,Results,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2021-03-31,Board Meeting,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
ASIANPAINT.NS,2021-10-21,Results,2,Bull,1,Sideways,12796.277458323644,13200.81995611648,0.03759498158113816,0
AXISBANK.NS,2019-09-20,Board Meeting,2,Bull,0,Bear,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2019-12-17,Board Meeting,1,Sideways,2,Bull,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2020-06-29,Board Meeting,2,Bull,0,Bear,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2020-07-02,AGM,2,Bull,0,Bear,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2020-09-28,Board Meeting,2,Bull,0,Bear,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2021-12-16,Board Meeting,1,Sideways,2,Bull,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2022-07-20,Results,1,Sideways,2,Bull,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2023-10-06,Board Meeting,1,Sideways,2,Bull,12268.350046361595,12418.25221305217,0.07711986353370472,0
AXISBANK.NS,2025-10-15,Results,1,Sideways,2,Bull,12268.350046361595,12418.25221305217,0.07711986353370472,0
BAJAJ-AUTO.NS,2019-09-23,Board Meeting,2,Bull,0,Bear,12752.906285755847,13017.120923131917,0.06618718564107114,0
BAJAJ-AUTO.NS,2020-09-22,Board Meeting,1,Sideways,2,Bull,12752.906285755847,13017.120923131917,0.06618718564107114,0
BAJAJ-AUTO.NS,2020-10-22,Results,2,Bull,1,Sideways,12752.906285755847,13017.120923131917,0.06618718564107114,0
BAJAJ-AUTO.NS,2022-01-19,Results,1,Sideways,2,Bull,12752.906285755847,13017.120923131917,0.06618718564107114,0
BAJAJ-AUTO.NS,2022-04-01,Board Meeting,1,Sideways,2,Bull,12752.906285755847,13017.120923131917,0.06618718564107114,0
BAJAJ-AUTO.NS,2022-10-14,Results,1,Sideways,2,Bull,12752.906285755847,13017.120923131917,0.06618718564107114,0
DRREDDY.NS,2019-06-07,AGM,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2019-07-25,Results,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2019-09-24,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2020-06-17,AGM,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2020-07-20,Results,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2020-12-28,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2021-05-19,AGM,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2022-05-20,AGM,0,Bear,2,Bull,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2022-07-28,Results,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2022-09-28,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2022-12-27,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2023-09-22,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2024-03-22,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2024-11-05,Results,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
DRREDDY.NS,2024-12-23,Board Meeting,1,Sideways,0,Bear,12852.525158601009,13318.454024646497,0.0790200325483556,0
HDFCBANK.NS,2020-06-15,Board Meeting,2,Bull,0,Bear,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2020-06-24,AGM,2,Bull,0,Bear,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2022-06-21,AGM,1,Sideways,2,Bull,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2023-07-12,Results,1,Sideways,2,Bull,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2024-04-16,Results,1,Sideways,2,Bull,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2024-07-18,AGM,1,Sideways,2,Bull,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2026-04-13,Results,2,Bull,0,Bear,13016.750529781131,13341.266210510174,0.11122396353162892,0
HDFCBANK.NS,2026-06-18,Board Meeting,1,Sideways,2,Bull,13016.750529781131,13341.266210510174,0.11122396353162892,0
HINDUNILVR.NS,2019-05-07,AGM,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2019-07-25,Results,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2019-10-04,Board Meeting,1,Sideways,2,Bull,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2020-04-30,Results,1,Sideways,2,Bull,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2020-05-27,AGM,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2021-01-14,Board Meeting,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2021-01-25,Results,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2021-04-29,AGM,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2021-04-29,Results,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2021-10-19,Results,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2022-04-27,AGM,1,Sideways,2,Bull,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2022-07-06,Board Meeting,1,Sideways,2,Bull,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2022-10-07,Board Meeting,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2022-10-21,Results,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
HINDUNILVR.NS,2023-01-19,Results,0,Bear,1,Sideways,13170.27941758507,13639.260418204803,0.05102532808839074,0
ICICIBANK.NS,2019-03-26,Board Meeting,1,Sideways,2,Bull,12555.333209657878,12903.092281388543,0.07620067618797365,0
ICICIBANK.NS,2019-06-26,Board Meeting,1,Sideways,2,Bull,12555.333209657878,12903.092281388543,0.07620067618797365,0
ICICIBANK.NS,2019-06-27,Results,1,Sideways,2,Bull,12555.333209657878,12903.092281388543,0.07620067618797365,0
ICICIBANK.NS,2019-07-26,Results,1,Sideways,0,Bear,12555.333209657878,12903.092281388543,0.07620067618797365,0
ICICIBANK.NS,2019-09-25,Board Meeting,0,Bear,1,Sideways,12555.333209657878,12903.092281388543,0.07620067618797365,0
ICICIBANK.NS,2019-10-25,Results,1,Sideways,2,Bull,12555.333209657878,12903.092281388543,0.07620067618797365,0
ICICIBANK.NS,2019-12-26,Board Meeting,1,Sideways,0,Bear,12555.333209657878,12903.092281388543,0.07620067618797365,0
